aX,aY,aZ,gX,gY,gZ
0.009,-0.045,1.053,2.686,3.113,5.432
-0.000,0.047,0.979,0.000,0.854,4.944
0.021,0.051,0.987,-0.549,0.000,10.437
0.151,-0.096,1.013,0.916,-2.625,13.367
0.206,-0.155,0.980,1.343,-7.629,13.672
0.223,-0.177,0.917,-2.808,-13.306,7.019
0.166,-0.150,0.867,-4.150,-9.399,1.953
0.121,-0.116,0.905,-3.174,3.967,-6.592
0.046,0.037,1.012,-2.869,7.874,-8.179
0.033,0.101,1.061,-0.549,6.348,-1.099
0.076,-0.005,1.080,0.671,1.831,4.517
0.105,-0.067,1.038,0.549,-4.700,6.653
0.123,-0.098,0.988,0.793,-3.906,4.517
0.109,-0.065,0.983,0.061,-2.747,1.892
0.078,0.033,0.986,-1.343,-1.221,0.671
0.094,-0.015,1.031,-0.549,0.366,3.418
0.130,-0.088,1.055,1.038,0.549,4.211
0.154,-0.111,0.959,0.671,0.671,0.916
0.120,-0.040,0.937,2.014,6.836,-3.296
0.071,0.045,1.085,2.930,7.324,-1.221
0.087,0.010,1.147,-1.343,-9.583,5.737
0.146,-0.095,0.952,-4.211,-19.470,6.775
0.150,-0.121,0.814,-5.554,-13.855,1.099
0.102,-0.037,0.884,-5.005,-1.892,-2.686
0.079,-0.002,1.030,-4.028,7.446,-4.089
0.072,0.011,1.129,-0.061,6.226,-0.916
0.083,-0.039,1.081,1.526,-0.061,0.977
0.087,-0.044,0.987,0.244,-6.531,0.122
0.063,0.004,0.874,-0.549,-2.808,-0.732
0.049,0.010,0.940,2.991,10.254,0.488
0.057,-0.001,1.088,3.540,10.132,1.160
0.072,-0.017,1.056,0.854,-0.488,2.808
0.112,-0.065,0.940,-0.549,-3.601,3.113
0.130,-0.081,0.918,-1.709,-3.601,2.563
0.123,-0.041,0.959,-3.479,1.526,-0.916
0.109,-0.019,1.020,-2.686,3.967,-1.892
0.104,-0.024,1.077,-0.854,-0.610,-0.305
0.127,-0.041,1.053,-2.136,-7.263,0.549
0.133,-0.052,0.988,-6.042,-14.648,0.000
0.118,-0.048,0.891,-5.920,-11.780,-1.526
0.115,-0.042,0.909,-2.380,0.183,-3.906
0.119,-0.039,1.009,-1.648,3.174,-4.456
0.120,-0.043,1.023,-0.916,1.221,-4.089
0.103,-0.046,0.983,-1.282,-0.183,-4.272
0.085,-0.018,0.980,-3.113,0.916,-5.066
0.059,0.028,1.046,-2.563,1.953,-4.272
0.071,0.004,1.068,-0.977,1.404,-2.563
0.089,-0.039,1.039,1.587,-3.906,-1.282
