aX,aY,aZ,gX,gY,gZ
-0.806,-0.123,0.614,4.456,2.319,0.244
-0.809,-0.108,0.554,2.869,-0.732,-0.916
-0.812,-0.094,0.495,-2.686,-2.136,-2.563
-0.819,-0.059,0.503,-4.639,-0.244,-1.770
-0.813,-0.089,0.551,-3.174,2.991,1.831
-0.799,-0.147,0.609,-2.014,2.197,1.648
-0.807,-0.173,0.600,-3.357,-1.953,0.122
-0.806,-0.167,0.564,-3.906,-4.211,-1.099
-0.808,-0.124,0.529,-3.479,-5.981,-2.563
-0.821,-0.074,0.511,-3.540,-4.700,-1.953
-0.828,-0.085,0.536,-4.700,-2.319,-0.366
-0.835,-0.109,0.547,-3.601,-2.136,0.244
-0.827,-0.118,0.534,1.465,-0.549,0.671

-2.004,-0.508,0.469,5.188,17.273,3.784
-2.408,-0.595,0.387,7.935,33.203,14.099
-2.747,-0.783,0.740,4.333,40.466,21.851
-2.516,-0.822,1.022,-16.846,9.583,29.663
-1.834,-0.466,0.849,-28.503,-20.691,29.663
-1.490,-0.158,0.575,-7.996,-43.213,46.875
-0.803,0.038,0.284,20.996,-30.884,60.059
-0.469,0.062,0.303,54.810,2.380,61.768
0.068,-0.134,0.368,47.852,13.123,44.128
0.248,-0.035,0.336,32.104,21.545,13.000
0.325,0.301,0.304,7.324,48.157,-44.128
0.158,0.725,0.498,8.972,66.223,-46.021
-0.006,0.486,0.708,25.879,81.360,-14.282
-0.311,-0.220,0.810,27.771,69.763,-4.822
-0.323,-0.272,0.673,20.325,37.598,-9.399
-0.096,-0.109,0.579,16.724,30.029,-13.428
0.038,0.009,0.620,11.414,20.874,-25.818
0.059,0.320,0.563,8.240,16.663,-30.579
-0.110,0.350,0.477,4.395,15.381,-29.114
-0.505,0.014,0.514,-4.883,21.179,-8.728
-0.569,-0.245,0.575,-11.230,20.447,1.831
-0.529,-0.440,0.607,-10.559,9.460,0.610
-0.456,-0.503,0.593,0.122,4.944,-9.583
-0.497,-0.424,0.623,21.362,2.014,-29.480
-0.581,-0.183,0.702,19.165,-0.366,-33.691
-0.613,-0.133,0.735,-9.766,-14.893,-31.677
-0.731,-0.148,0.598,-26.001,-22.766,-29.358
-0.766,-0.119,0.492,-34.424,-22.156,-22.461
-0.678,-0.028,0.522,-21.606,-11.353,-15.686
-0.651,-0.091,0.681,17.944,9.460,-6.958
-0.745,-0.190,0.888,26.917,8.606,-9.399
-0.810,-0.159,0.849,12.756,-10.376,-15.686
-0.844,-0.047,0.612,1.099,-18.005,-14.465
-0.785,-0.019,0.560,-6.470,-15.808,-5.432
-0.687,-0.074,0.613,-2.380,-9.399,-1.282
-0.693,-0.131,0.666,3.967,-3.052,-0.122
-0.753,-0.165,0.715,11.414,1.587,-6.226
-0.756,-0.110,0.695,10.132,-0.427,-10.437
-0.762,-0.040,0.650,5.310,-4.883,-12.268
-0.774,0.005,0.584,4.211,-4.883,-9.216
-0.762,-0.027,0.595,1.892,-1.770,-1.892
-0.758,-0.127,0.623,0.916,-0.366,-0.305
-0.764,-0.160,0.637,0.916,0.793,-1.953
-0.796,-0.150,0.616,0.244,-0.671,-4.089
-0.810,-0.095,0.570,-0.427,-3.357,-5.310
-0.806,-0.021,0.556,2.441,-1.160,-2.563
-0.787,-0.047,0.629,9.583,5.493,3.967
-0.767,-0.139,0.792,8.545,4.028,4.089
-0.771,-0.135,0.776,-3.723,-10.742,-0.488
-0.820,-0.084,0.539,-9.583,-16.968,-1.526
-0.820,-0.084,0.434,-10.803,-12.634,1.282
-0.776,-0.169,0.446,-4.639,-3.174,2.319
-0.756,-0.175,0.546,5.920,7.263,1.465
-0.769,-0.135,0.705,21.545,16.235,-1.831
-0.793,-0.106,0.711,19.043,12.695,-2.380
-0.805,-0.067,0.692,0.183,0.061,-1.526
-0.784,-0.042,0.642,-8.728,-4.883,0.061
-0.766,-0.074,0.633,-13.855,-7.568,2.747
-0.748,-0.149,0.629,-11.536,-6.958,2.502
-0.755,-0.164,0.600,-0.549,-3.540,0.488
-0.778,-0.125,0.565,6.714,0.122,-0.122
-0.775,-0.089,0.593,12.695,4.944,0.854
